level	type	deg4	open2x2
1013	B	0.0575	0.2445
1014	B	0.065	0.2488
1015	B	0.0772	0.2551
1016	B	0.0652	0.2409
1017	B	0.0701	0.2439
1018	B	0.0785	0.2616
1019	B	0.0705	0.2536
1020	B	0.0673	0.245
1021	B	0.0664	0.2515
1022	B	0.0761	0.2604
1023	B	0.0701	0.2511
1024	B	0.0698	0.2517
1025	B	0.0733	0.256
1026	B	0.0779	0.2572
1027	B	0.0749	0.2555
1028	B	0.0731	0.2554
1029	B	0.0732	0.2529
1030	B	0.0755	0.2571
1031	B	0.0733	0.2566
1032	B	0.0743	0.2574
1033	B	0.0763	0.2596
1034	B	0.0744	0.2549
1035	B	0.0752	0.2562
1036	B	0.0762	0.2568
1037	B	0.0731	0.2562
1038	B	0.0722	0.2551
1039	B	0.0722	0.2562
1040	B	0.0765	0.2587
1041	B	0.0745	0.2578
1042	B	0.0769	0.2595
1043	B	0.0753	0.2583
1044	B	0.0735	0.2551
1045	B	0.0759	0.2585
1046	B	0.0752	0.2593
1047	B	0.0721	0.2567
1048	B	0.0822	0.2721
1049	B	0.0756	0.2584
1050	B	0.0744	0.2578
1051	B	0.0736	0.2564
1052	B	0.0755	0.2566
1053	B	0.0744	0.2581
1054	B	0.0756	0.2571
1055	B	0.0752	0.2585
1056	B	0.0727	0.2566
1057	B	0.0712	0.254
1058	B	0.0832	0.2724
1059	B	0.0744	0.258
1060	B	0.0745	0.2567
1061	B	0.0739	0.2568
1062	B	0.0738	0.2569
1063	B	0.0747	0.2594
1064	B	0.075	0.2586
1065	B	0.076	0.2582
1066	B	0.0757	0.259
1067	B	0.0756	0.2587
1068	B	0.0854	0.2759
1069	B	0.0758	0.2602
1070	B	0.0748	0.2579
1071	B	0.0726	0.2569
1072	B	0.0743	0.2573
1073	B	0.0756	0.259
1074	B	0.0743	0.2568
1075	B	0.073	0.2558
1076	B	0.0744	0.2575
1077	B	0.075	0.2584
1078	B	0.0844	0.2747
1079	B	0.0744	0.2578
1080	B	0.0748	0.2575
1081	B	0.0763	0.2597
1082	B	0.075	0.2578
1083	B	0.0745	0.2573
1084	B	0.0743	0.257
1085	B	0.0772	0.2614
1086	B	0.0761	0.2599
1087	B	0.0741	0.2572
1088	B	0.0845	0.2746
1089	B	0.0758	0.2588
1090	B	0.0771	0.2619
1091	B	0.076	0.2598
1092	B	0.075	0.2576
1093	B	0.0743	0.2577
1094	B	0.0755	0.2599
1095	B	0.0749	0.2584
1096	B	0.0755	0.2597
1097	B	0.0753	0.2587
1098	B	0.0846	0.2748
1099	B	0.074	0.2572
1100	B	0.0746	0.258
1101	B	0.076	0.2593
1102	B	0.0744	0.2573
1103	B	0.0768	0.2605
1104	B	0.0756	0.2592
1105	B	0.0746	0.2577
1106	B	0.0757	0.259
1107	B	0.0748	0.2578
1108	B	0.0848	0.2748
1109	B	0.0756	0.2594
1110	B	0.075	0.2588
1111	B	0.0744	0.2573
1112	B	0.0758	0.2589
1113	B	0.0773	0.2619
1114	B	0.0752	0.2582
1115	B	0.0757	0.2596
1116	B	0.0755	0.2588
1117	B	0.0762	0.2604
1118	B	0.0754	0.2592
1119	B	0.0747	0.2577
1120	B	0.0755	0.2592
1121	B	0.0753	0.2587
1122	B	0.0749	0.2584
1123	B	0.0764	0.2601
1124	B	0.0762	0.2598
1125	B	0.0753	0.2581
1126	B	0.0767	0.2604
1127	B	0.0757	0.2592
1128	B	0.0765	0.2602
1129	B	0.0742	0.2572
1130	B	0.0759	0.2602
1131	B	0.0769	0.2609
1132	B	0.0755	0.2582
1133	B	0.0756	0.2594
1134	B	0.075	0.2579
1135	B	0.0763	0.2605
1136	B	0.0773	0.2615
1137	B	0.0747	0.2574
1138	B	0.0755	0.2595
1139	B	0.0757	0.2587
1140	B	0.074	0.2567
1141	B	0.0762	0.2603
1142	B	0.0749	0.2578
1143	B	0.0752	0.2582
1144	B	0.0755	0.2588
1145	B	0.0757	0.2602
1146	B	0.0757	0.2591
1147	B	0.0739	0.2564
1148	B	0.0756	0.2587
1149	B	0.0763	0.2609
1150	B	0.0761	0.2598
1151	B	0.0752	0.2582
1152	B	0.0751	0.2581
1153	B	0.0762	0.2595
1154	B	0.0751	0.2585
1155	B	0.0756	0.2585
1156	B	0.075	0.2582
1157	B	0.0762	0.2603
1158	B	0.0747	0.2577
1159	B	0.0754	0.2587
1160	B	0.0756	0.2592
1161	B	0.0767	0.2604
1162	B	0.0754	0.259
1163	B	0.0762	0.26
1164	B	0.0751	0.2578
1165	B	0.0753	0.2579
1166	B	0.0749	0.2576
1167	B	0.0756	0.2595
1168	B	0.0747	0.2577
1169	B	0.0758	0.2589
1170	B	0.076	0.2601
1171	B	0.075	0.2581
1172	B	0.076	0.2605
1173	B	0.0768	0.261
1174	B	0.0762	0.2598
1175	B	0.0746	0.2575
1176	B	0.0755	0.259
1177	B	0.0755	0.2589
1178	B	0.076	0.2598
1179	B	0.0755	0.2586
1180	B	0.075	0.258
1181	B	0.0754	0.2581
1182	B	0.0759	0.2599
1183	B	0.0748	0.2575
1184	B	0.0764	0.2604
1185	B	0.0758	0.2591
1186	B	0.0754	0.2589
1187	B	0.0765	0.2605
1188	B	0.076	0.2598
1189	B	0.0754	0.2586
1190	B	0.0756	0.2584
1191	B	0.0751	0.2581
1192	B	0.0764	0.2603
1193	B	0.0763	0.2605
1194	B	0.0756	0.2589
1195	B	0.0758	0.2598
1196	B	0.0749	0.2579
1197	B	0.0758	0.2596
1198	B	0.075	0.2581
1199	B	0.0758	0.2596
1200	B	0.0754	0.2582
1201	B	0.0746	0.2574
1202	B	0.0756	0.2593
1203	B	0.0768	0.2608
1204	B	0.0747	0.2576
1205	B	0.0765	0.2607
1206	B	0.0754	0.2583
1207	B	0.0749	0.2581
