  分治：12 块 144 对，可行 40 对，整块淘汰掉 0 格
有向预计算：走向已定 0/143162 (0.0%) | 无向判定率 0.0% -> 0.0% (0 -> 0 / 71581 边)
有向预计算：走向已定 0/143162 (0.0%) | 无向判定率 0.0% -> 0.0% (0 -> 0 / 71581 边)
全局阶段：固定 0 条边，起点候选 50288 / 50288 (100.0%)
adaptive PROPDEPTH=2 (fixed 0 / 71581 edges; 第一层存活率>=SURVDEEP%再升深层)
T1 sh7 cell=(20,0) PROBE0 nodes=52
T1 sh2 cell=(177,171) PROBE0 nodes=120
T1 sh5 cell=(95,179) PROBE0 nodes=90
T1 sh21 cell=(247,162) PROBE0 nodes=20
T1 sh0 cell=(163,165) PROBE0 nodes=155
T1 sh22 cell=(68,237) PROBE0 nodes=87
T1 sh1 cell=(79,229) PROBE0 nodes=31
T1 sh17 cell=(10,172) PROBE0 nodes=2
T1 sh4 cell=(119,232) PROBE0 nodes=15
T1 sh13 cell=(220,231) PROBE0 nodes=12
T1 sh6 cell=(176,161) PROBE0 nodes=21
T1 sh14 cell=(188,176) PROBE0 nodes=240
T1 sh21 cell=(56,163) PROBE0 nodes=24
T1 sh12 cell=(147,167) PROBE0 nodes=5
T1 sh5 cell=(152,179) PROBE0 nodes=49
T1 sh16 cell=(92,241) PROBE0 nodes=288
T1 sh20 cell=(189,180) PROBE0 nodes=102
T1 sh10 cell=(200,238) PROBE0 nodes=10
T1 sh8 cell=(183,175) PROBE0 nodes=80
T1 sh18 cell=(156,159) PROBE0 nodes=53
T1 sh23 cell=(70,176) PROBE0 nodes=30
T1 sh7 cell=(65,234) PROBE0 nodes=231
T1 sh19 cell=(46,241) PROBE0 nodes=60
T1 sh12 cell=(203,167) PROBE0 nodes=49
T1 sh13 cell=(86,232) PROBE0 nodes=112
T1 sh1 cell=(203,229) PROBE0 nodes=523
T1 sh2 cell=(46,172) PROBE0 nodes=24
T1 sh25 cell=(38,233) PROBE0 nodes=583
T1 sh17 cell=(183,172) PROBE0 nodes=35
T1 sh9 cell=(141,167) PROBE0 nodes=78
T1 sh15 cell=(179,163) PROBE0 nodes=12
T1 sh19 cell=(105,241) PROBE0 nodes=150
T1 sh6 cell=(56,162) PROBE0 nodes=22
T1 sh4 cell=(52,233) PROBE0 nodes=110
T1 sh24 cell=(93,165) PROBE0 nodes=8
T1 sh23 cell=(148,176) PROBE0 nodes=92
T1 sh25 cell=(85,233) PROBE0 nodes=157
T1 sh10 cell=(57,239) PROBE0 nodes=86
T1 sh2 cell=(137,172) PROBE0 nodes=102
T1 sh17 cell=(3,173) PROBE0 nodes=27
T1 sh0 cell=(100,166) PROBE0 nodes=20
T1 sh11 cell=(182,178) PROBE0 nodes=289
T1 sh9 cell=(198,167) PROBE0 nodes=333
T1 sh18 cell=(28,160) PROBE0 nodes=8
T1 sh15 cell=(240,163) PROBE0 nodes=12
T1 sh7 cell=(191,234) PROBE0 nodes=342
T1 sh4 cell=(96,233) PROBE0 nodes=384
T1 sh24 cell=(161,165) PROBE0 nodes=154
T1 sh6 cell=(133,162) PROBE0 nodes=284
T1 sh17 cell=(89,173) PROBE0 nodes=10
T1 sh14 cell=(146,177) PROBE0 nodes=55
T1 sh7 cell=(270,234) PROBE0 nodes=91
T1 sh16 cell=(81,242) PROBE0 nodes=26
T1 sh0 cell=(167,166) PROBE0 nodes=49
T1 sh9 cell=(266,167) PROBE0 nodes=64
T1 sh24 cell=(220,165) PROBE0 nodes=6
T1 sh7 cell=(57,235) PROBE0 nodes=147
T1 sh19 cell=(15,242) PROBE0 nodes=370
T1 sh21 cell=(61,164) PROBE0 nodes=29
T1 sh17 cell=(164,173) PROBE0 nodes=67
T1 sh1 cell=(222,230) PROBE0 nodes=21
T1 sh13 cell=(65,233) PROBE0 nodes=8
T1 sh5 cell=(158,180) PROBE0 nodes=96
T1 sh25 cell=(46,234) PROBE0 nodes=233
T1 sh10 cell=(9,240) PROBE0 nodes=11
T1 sh8 cell=(172,176) PROBE0 nodes=179
T1 sh11 cell=(52,179) PROBE0 nodes=9
T1 sh6 cell=(204,162) PROBE0 nodes=218
T1 sh18 cell=(174,160) PROBE0 nodes=32
T1 sh3 cell=(172,169) PROBE0 nodes=110
T1 sh7 cell=(110,235) PROBE0 nodes=403
T1 sh19 cell=(88,242) PROBE0 nodes=87
T1 sh22 cell=(27,239) PROBE0 nodes=361
T1 sh21 cell=(141,164) PROBE0 nodes=83
T1 sh12 cell=(163,168) PROBE0 nodes=66
T1 sh1 cell=(32,231) PROBE0 nodes=16
T1 sh4 cell=(60,234) PROBE0 nodes=110
T1 sh25 cell=(98,234) PROBE0 nodes=500
T1 sh9 cell=(100,168) PROBE0 nodes=24
T1 sh6 cell=(11,163) PROBE0 nodes=17
T1 sh22 cell=(95,239) PROBE0 nodes=282
T1 sh24 cell=(98,166) PROBE0 nodes=3
T1 sh15 cell=(189,164) PROBE0 nodes=317
T1 sh18 cell=(243,160) PROBE0 nodes=48
T1 sh17 cell=(51,174) PROBE0 nodes=13
T1 sh4 cell=(116,234) PROBE0 nodes=442
T1 sh1 cell=(119,231) PROBE0 nodes=55
T1 sh14 cell=(54,178) PROBE0 nodes=54
T1 sh23 cell=(164,177) PROBE0 nodes=200
T1 sh9 cell=(154,168) PROBE0 nodes=11
T1 sh6 cell=(98,163) PROBE0 nodes=42
T1 sh16 cell=(52,243) PROBE0 nodes=46
T1 sh24 cell=(165,166) PROBE0 nodes=35
T1 sh1 cell=(183,231) PROBE0 nodes=589
T1 sh4 cell=(181,234) PROBE0 nodes=590
T1 sh13 cell=(267,233) PROBE0 nodes=18
T1 sh10 cell=(186,240) PROBE0 nodes=21
T1 sh7 cell=(43,236) PROBE0 nodes=76
T1 sh11 cell=(165,179) PROBE0 nodes=127
T1 sh2 cell=(263,173) PROBE0 nodes=61
T1 sh20 cell=(107,182) PROBE0 nodes=6
T1 sh6 cell=(158,163) PROBE0 nodes=50
T1 sh10 cell=(27,241) PROPKILL
T1 sh25 cell=(43,235) PROBE0 nodes=58
T1 sh17 cell=(184,174) PROBE0 nodes=471
T1 sh23 cell=(10,178) PROBE0 nodes=205
T1 sh12 cell=(64,169) PROBE0 nodes=33
T1 sh19 cell=(58,243) PROBE0 nodes=71
T1 sh9 cell=(0,169) PROBE0 nodes=36
T1 sh22 cell=(33,240) PROBE0 nodes=603
T1 sh1 cell=(56,232) PROBE0 nodes=90
T1 sh24 cell=(274,166) PROBE0 nodes=5
T1 sh4 cell=(54,235) PROBE0 nodes=3
T1 sh20 cell=(180,182) PROBE0 nodes=160
T1 sh13 cell=(133,234) PROBE0 nodes=308
T1 sh18 cell=(153,161) PROBE0 nodes=16
T1 sh10 cell=(82,241) PROBE0 nodes=78
T1 sh25 cell=(95,235) PROBE0 nodes=443
T1 sh0 cell=(179,167) PROBE0 nodes=48
T1 sh8 cell=(178,177) PROBE0 nodes=299
T1 sh3 cell=(169,170) PROBE0 nodes=146
T1 sh15 cell=(133,165) PROBE0 nodes=384
T1 sh1 cell=(116,232) PROBE0 nodes=22
T1 sh22 cell=(109,240) PROBE0 nodes=30
T1 sh4 cell=(104,235) PROBE0 nodes=24
T1 sh5 cell=(140,181) PROBE0 nodes=97
T1 sh6 cell=(214,163) PROBE0 nodes=185
T1 sh9 cell=(57,169) PROBE0 nodes=93
T1 sh14 cell=(272,178) PROBE0 nodes=262
T1 sh13 cell=(213,234) PROBE0 nodes=591
T1 sh21 cell=(156,165) PROBE0 nodes=100
T1 sh18 cell=(215,161) PROBE0 nodes=23
T1 sh2 cell=(147,174) PROBE0 nodes=48
T1 sh1 cell=(168,232) PROBE0 nodes=62
T1 sh16 cell=(50,244) PROBE0 nodes=37
T1 sh19 cell=(189,243) PROBE0 nodes=55
T1 sh17 cell=(57,175) PROBE0 nodes=53
T1 sh4 cell=(181,235) PROBE0 nodes=590
T1 sh12 cell=(199,169) PROBE0 nodes=57
T1 sh23 cell=(141,178) PROBE0 nodes=98
T1 sh14 cell=(55,179) PROBE0 nodes=64
T1 sh7 cell=(35,237) PROBE0 nodes=364
T1 sh21 cell=(209,165) PROBE0 nodes=346
T1 sh17 cell=(141,175) PROBE0 nodes=34
T1 sh12 cell=(258,169) PROBE0 nodes=11
T1 sh13 cell=(68,235) PROBE0 nodes=86
T1 sh25 cell=(18,236) PROBE0 nodes=13
T1 sh7 cell=(115,237) PROBE0 nodes=500
T1 sh15 cell=(264,165) PROBE0 nodes=25
T1 sh2 cell=(21,175) PROBE0 nodes=28
T1 sh11 cell=(169,180) PROBE0 nodes=253
T1 sh19 cell=(59,244) PROBE0 nodes=164
T1 sh18 cell=(96,162) PROBE0 nodes=3
T1 sh1 cell=(44,233) PROBE0 nodes=250
T1 sh21 cell=(274,165) PROBE0 nodes=29
T1 sh13 cell=(123,235) PROBE0 nodes=26
T1 sh25 cell=(90,236) PROBE0 nodes=143
T1 sh20 cell=(122,183) PROBE0 nodes=173
T1 sh10 cell=(52,242) PROBE0 nodes=139
T1 sh7 cell=(182,237) PROBE0 nodes=15
T1 sh24 cell=(176,167) PROBE0 nodes=17
T1 sh15 cell=(54,166) PROBE0 nodes=28
T1 sh18 cell=(164,162) PROBE0 nodes=11
T1 sh1 cell=(89,233) PROBE0 nodes=164
T1 sh22 cell=(54,241) PROBE0 nodes=152
T1 sh6 cell=(164,164) PROBE0 nodes=16
T1 sh4 cell=(97,236) PROBE0 nodes=323
T1 sh16 cell=(240,244) PROBE0 nodes=41
T1 sh14 cell=(179,179) PROBE0 nodes=270
T1 sh8 cell=(179,178) PROBE0 nodes=146
T1 sh15 cell=(146,166) PROBE0 nodes=28
T1 sh20 cell=(202,183) PROBE0 nodes=310
T1 sh0 cell=(132,168) PROBE0 nodes=71
T1 sh18 cell=(239,162) PROBE0 nodes=26
T1 sh16 cell=(60,245) PROBE0 nodes=82
T1 sh4 cell=(185,236) PROBE0 nodes=594
T1 sh2 cell=(169,175) PROBE0 nodes=396
T1 sh7 cell=(40,238) PROBE0 nodes=72
T1 sh5 cell=(144,182) PROBE0 nodes=84
T1 sh17 cell=(51,176) PROBE0 nodes=16
T1 sh21 cell=(159,166) PROBE0 nodes=82
T1 sh3 cell=(178,171) PROBE0 nodes=141
T1 sh22 cell=(185,241) PROBE0 nodes=9
T1 sh13 cell=(60,236) PROBE0 nodes=72
T1 sh18 cell=(49,163) PROBE0 nodes=118
T1 sh6 cell=(40,165) PROBE0 nodes=36
T1 sh25 cell=(16,237) PROBE0 nodes=22
T1 sh10 cell=(258,242) PROBE0 nodes=97
T1 sh5 cell=(229,182) PROBE0 nodes=17
T1 sh17 cell=(137,176) PROBE0 nodes=82
T1 sh12 cell=(265,170) PROBE0 nodes=44
T1 sh1 cell=(52,234) PROBE0 nodes=104
T1 sh19 cell=(75,245) PROBE0 nodes=26
T1 sh16 cell=(207,245) PROBE0 nodes=257
T1 sh4 cell=(26,237) PROBE0 nodes=161
T1 sh11 cell=(148,181) PROBE0 nodes=58
T1 sh25 cell=(82,237) PROBE0 nodes=31
T1 sh15 cell=(258,166) PROBE0 nodes=28
T1 sh10 cell=(41,243) PROBE0 nodes=390
T1 sh7 cell=(189,238) PROBE0 nodes=11
T1 sh2 cell=(19,176) PROBE0 nodes=20
T1 sh12 cell=(51,171) PROBE0 nodes=46
T1 sh1 cell=(106,234) PROBE0 nodes=23
T1 sh22 cell=(26,242) PROBE0 nodes=196
T1 sh17 cell=(197,176) PROBE0 nodes=346
T1 sh4 cell=(100,237) PROBE0 nodes=159
T1 sh23 cell=(274,179) PROBE0 nodes=4
T1 sh3 cell=(47,172) PROBE0 nodes=27
T1 sh9 cell=(191,170) PROBE0 nodes=123
T1 sh10 cell=(102,243) PROBE0 nodes=233
T1 sh11 cell=(232,181) PROBE0 nodes=32
T1 sh1 cell=(171,234) PROBE0 nodes=25
T1 sh22 cell=(101,242) PROBE0 nodes=224
T1 sh12 cell=(143,171) PROBE0 nodes=118
T1 sh17 cell=(2,177) PROBE0 nodes=30
T1 sh16 cell=(64,246) PROBE0 nodes=95
T1 sh18 cell=(189,163) PROBE0 nodes=87
T1 sh7 cell=(52,239) PROBE0 nodes=37
T1 sh25 cell=(226,237) PROBE0 nodes=575
T1 sh20 cell=(139,184) PROBE0 nodes=50
T1 sh3 cell=(138,172) PROBE0 nodes=224
T1 sh8 cell=(162,179) PROBE0 nodes=19
T1 sh6 cell=(176,165) PROBE0 nodes=20
T1 sh19 cell=(20,246) PROBE0 nodes=355
T1 sh14 cell=(172,180) PROBE0 nodes=147
T1 sh4 cell=(235,237) PROBE0 nodes=574
T1 sh13 cell=(49,237) PROBE0 nodes=109
T1 sh2 cell=(157,176) PROBE0 nodes=68
T1 sh25 cell=(20,238) PROBE0 nodes=369
T1 sh15 cell=(90,167) PROBE0 nodes=33
T1 sh10 cell=(231,243) PROBE0 nodes=642
T1 sh24 cell=(195,168) PROBE0 nodes=90
T1 sh5 cell=(150,183) PROBE0 nodes=108
T1 sh1 cell=(45,235) PROBE0 nodes=61
T1 sh22 cell=(235,242) PROBE0 nodes=71
T1 sh9 cell=(45,171) PROBE0 nodes=24
T1 sh6 cell=(245,165) PROBE0 nodes=10
T1 sh19 cell=(70,246) PROBE0 nodes=45
T1 sh16 cell=(190,246) PROBE0 nodes=43
T1 sh13 cell=(128,237) PROBE0 nodes=8
T1 sh12 cell=(0,172) PROBE0 nodes=7
T1 sh7 cell=(203,239) PROBE0 nodes=590
T1 sh25 cell=(79,238) PROBE0 nodes=47
T1 sh10 cell=(34,244) PROBE0 nodes=112
T1 sh21 cell=(162,167) PROBE0 nodes=138
T1 sh15 cell=(154,167) PROBE0 nodes=279
T1 sh0 cell=(163,169) PROBE0 nodes=72
T1 sh18 cell=(50,164) PROBE0 nodes=82
T1 sh3 cell=(36,173) PROBE0 nodes=18
T1 sh1 cell=(98,235) PROBE0 nodes=500
T1 sh17 cell=(152,177) PROBE0 nodes=59
T1 sh22 cell=(11,243) PROBE0 nodes=55
T1 sh11 cell=(160,182) PROBE0 nodes=52
T1 sh13 cell=(195,237) PROBE0 nodes=19
T1 sh9 cell=(140,171) PROBE0 nodes=88
T1 sh23 cell=(194,180) PROBE0 nodes=635
T1 sh4 cell=(96,238) PROBE0 nodes=281
T1 sh25 cell=(153,238) PROBE0 nodes=32
T1 sh10 cell=(100,244) PROBE0 nodes=257
T1 sh22 cell=(63,243) PROBE0 nodes=72
T1 sh16 cell=(21,247) PROBE0 nodes=501
T1 sh19 cell=(202,246) PROBE0 nodes=10
T1 sh11 cell=(240,182) PROBE0 nodes=34
T1 sh7 cell=(61,240) PROBE0 nodes=80
T1 sh19 cell=(258,246) PROBE0 nodes=94
T1 sh24 cell=(97,169) PROBE0 nodes=16
T1 sh22 cell=(196,243) PROPKILL
T1 sh12 cell=(173,172) PROBE0 nodes=500
T1 sh4 cell=(254,238) PROBE0 nodes=114
T1 sh13 cell=(62,238) PROBE0 nodes=199
T1 sh25 cell=(37,239) PROBE0 nodes=531
T1 sh6 cell=(182,166) PROBE0 nodes=32
T1 sh1 cell=(24,236) PROBE0 nodes=9
T1 sh9 cell=(268,171) PROBE0 nodes=58
T1 sh19 cell=(28,247) PROBE0 nodes=387
T1 sh14 cell=(158,181) PROBE0 nodes=55
T1 sh8 cell=(166,180) PROBE0 nodes=128
T1 sh24 cell=(158,169) PROBE0 nodes=7
T1 sh18 cell=(274,164) PROBE0 nodes=5
T1 sh4 cell=(48,239) PROBE0 nodes=127
T1 sh13 cell=(122,238) PROBE0 nodes=138
T1 sh20 cell=(236,185) PROBE0 nodes=23
T1 sh21 cell=(57,168) PROBE0 nodes=97
T1 sh3 cell=(264,173) PROBE0 nodes=28
T1 sh1 cell=(94,236) PROBE0 nodes=486
T1 sh10 cell=(50,245) PROBE0 nodes=56
T1 sh19 cell=(76,247) PROBE0 nodes=95
T1 sh9 cell=(84,172) PROBE0 nodes=4
T1 sh24 cell=(218,169) PROBE0 nodes=8
T1 sh16 cell=(194,247) PROBE0 nodes=11
T1 sh14 cell=(238,181) PROBE0 nodes=40
T1 sh18 cell=(78,165) PROBE0 nodes=5
T1 sh2 cell=(170,177) PROBE0 nodes=459
T1 sh0 cell=(164,170) PROBE0 nodes=4
T1 sh1 cell=(181,236) PROBE0 nodes=590
T1 sh16 cell=(271,247) PROBE0 nodes=21
T1 sh11 cell=(166,183) PROBE0 nodes=31
T1 sh9 cell=(168,172) PROBE0 nodes=154
T1 sh14 cell=(20,182) PROBE0 nodes=13
T1 sh4 cell=(189,239) PROBE0 nodes=72
T1 sh7 cell=(22,241) PROBE0 nodes=301
T1 sh23 cell=(187,181) PROBE0 nodes=492
T1 sh18 cell=(148,165) PROBE0 nodes=75
T1 sh20 cell=(104,186) PROBE0 nodes=68
T1 sh19 cell=(202,247) PROBE0 nodes=54
T1 sh10 cell=(188,245) PROBE0 nodes=88
T1 sh21 cell=(185,168) PROBE0 nodes=40
T1 sh12 cell=(154,173) PROBE0 nodes=24
T1 sh3 cell=(154,174) PROBE0 nodes=66
T1 sh22 cell=(186,244) PROBE0 nodes=63
T1 sh7 cell=(75,241) PROBE0 nodes=51
T1 sh13 cell=(65,239) PROBE0 nodes=96
T1 sh11 cell=(234,183) PROBE0 nodes=45
T1 sh15 cell=(176,168) PROBE0 nodes=18
T1 sh6 cell=(57,167) PROBE0 nodes=86
T1 sh1 cell=(20,237) PROBE0 nodes=4
T1 sh19 cell=(274,247) PROBE0 nodes=145
T1 sh12 cell=(220,173) PROBE0 nodes=30
T1 sh5 cell=(53,185) PROBE0 nodes=5
T1 sh3 cell=(221,174) PROBE0 nodes=29
T1 sh4 cell=(54,240) PROBE0 nodes=68
T1 sh1 cell=(90,237) PROBE0 nodes=77
T1 sh8 cell=(145,181) PROBE0 nodes=74
T1 sh19 cell=(81,248) PROBE0 nodes=41
T1 sh10 cell=(51,246) PROBE0 nodes=49
T1 sh9 cell=(51,173) PROBE0 nodes=47
T1 sh16 cell=(198,248) PROBE0 nodes=50
T1 sh2 cell=(90,178) PROBE0 nodes=4
T1 sh20 cell=(233,186) PROBE0 nodes=27
T1 sh22 cell=(80,245) PROBE0 nodes=30
T1 sh23 cell=(50,182) PROBE0 nodes=15
T1 sh24 cell=(161,170) PROBE0 nodes=121
T1 sh9 cell=(138,173) PROBE0 nodes=105
T1 sh13 cell=(17,240) PROBE0 nodes=361
T1 sh5 cell=(202,185) PROBE0 nodes=136
T1 sh0 cell=(175,171) PROBE0 nodes=147
T1 sh2 cell=(158,178) PROBE0 nodes=90
T1 sh19 cell=(206,248) PROBE0 nodes=149
T1 sh10 cell=(184,246) PROBE0 nodes=50
T1 sh18 cell=(153,166) PROBE0 nodes=9
T1 sh13 cell=(81,240) PROBE0 nodes=176
T1 sh1 cell=(23,238) PROBE0 nodes=98
T1 sh6 cell=(256,167) PROBE0 nodes=15
T1 sh11 cell=(169,184) PROBE0 nodes=18
T1 sh12 cell=(177,174) PROBE0 nodes=621
T1 sh10 cell=(246,246) PROBE0 nodes=13
T1 sh19 cell=(26,249) PROBE0 nodes=609
T1 sh21 cell=(151,169) PROBE0 nodes=16
T1 sh3 cell=(172,175) PROBE0 nodes=305
T1 sh22 cell=(25,246) PROBE0 nodes=501
T1 sh4 cell=(15,241) PROBE0 nodes=368
T1 sh14 cell=(111,183) PROBE0 nodes=16
T1 sh1 cell=(81,238) PROBE0 nodes=93
T1 sh10 cell=(14,247) PROBE0 nodes=35
T1 sh25 cell=(63,241) PROBE0 nodes=72
T1 sh16 cell=(241,249) PROBE0 nodes=37
T1 sh19 cell=(96,249) PROBE0 nodes=371
T1 sh17 cell=(185,179) PROBE0 nodes=319
T1 sh24 cell=(99,171) PROBE0 nodes=7
T1 sh22 cell=(78,246) PROBE0 nodes=18
T1 sh4 cell=(68,241) PROBE0 nodes=73
T1 sh1 cell=(155,238) PROBE0 nodes=18
T1 sh20 cell=(233,187) PROBE0 nodes=12
T1 sh13 cell=(198,240) PROBE0 nodes=14
T1 sh16 cell=(34,250) PROBE0 nodes=389
T1 sh10 cell=(65,247) PROBE0 nodes=278
T1 sh8 cell=(152,182) PROBE0 nodes=44
T1 sh6 cell=(94,168) PROBE0 nodes=43
T1 sh18 cell=(267,166) PROBE0 nodes=28
T1 sh7 cell=(250,242) PROBE0 nodes=8
T1 sh15 cell=(262,169) PROBE0 nodes=6
T1 sh11 cell=(71,185) PROBE0 nodes=75
T1 sh16 cell=(97,250) PROBE0 nodes=366
T1 sh24 cell=(171,171) PROBE0 nodes=377
T1 sh9 cell=(172,174) PROBE0 nodes=61
T1 sh19 cell=(244,249) PROBE0 nodes=6
T1 sh6 cell=(146,168) PROBE0 nodes=6
T1 sh25 cell=(190,241) PROBE0 nodes=20
T1 sh22 cell=(210,246) PROBE0 nodes=217
T1 sh8 cell=(235,182) PROBE0 nodes=127
T1 sh7 cell=(33,243) PROBE0 nodes=122
T1 sh13 cell=(34,241) PROBE0 nodes=506
T1 sh17 cell=(53,180) PROBE0 nodes=3
T1 sh11 cell=(144,185) PROBE0 nodes=16
T1 sh16 cell=(193,250) PROBE0 nodes=86
T1 sh20 cell=(101,188) PROBE0 nodes=9
T1 sh2 cell=(141,179) PROBE0 nodes=102
T1 sh19 cell=(37,250) PROBE0 nodes=397
T1 sh15 cell=(53,170) PROBE0 nodes=80
T1 sh21 cell=(64,170) PROBE0 nodes=79
T1 sh18 cell=(97,167) PROBE0 nodes=19
T1 sh7 cell=(93,243) PROBE0 nodes=290
T1 sh13 cell=(85,241) PROBE0 nodes=34
T1 sh25 cell=(32,242) PROBE0 nodes=114
T1 sh19 cell=(110,250) PROBE0 nodes=7
T1 sh22 cell=(32,247) PROBE0 nodes=381
T1 sh21 cell=(150,170) PROBE0 nodes=86
T1 sh6 cell=(269,168) PROBE0 nodes=30
T1 sh4 cell=(41,242) PROBE0 nodes=311
T1 sh14 cell=(81,184) PROBE0 nodes=29
T1 sh3 cell=(158,176) PROBE0 nodes=66
T1 sh18 cell=(157,167) PROBE0 nodes=32
T1 sh16 cell=(61,251) PROBE0 nodes=56
T1 sh5 cell=(255,186) PROBE0 nodes=240
T1 sh11 cell=(2,186) PROBE0 nodes=114
T1 sh19 cell=(203,250) PROBE0 nodes=59
T1 sh25 cell=(105,242) PROBE0 nodes=523
T1 sh22 cell=(82,247) PROBE0 nodes=22
T1 sh10 cell=(51,248) PROBE0 nodes=26
T1 sh17 cell=(183,180) PROBE0 nodes=169
T1 sh6 cell=(53,169) PROBE0 nodes=79
T1 sh25 cell=(169,242) PROBE0 nodes=14
T1 sh8 cell=(155,183) PROBE0 nodes=40
T1 sh19 cell=(272,250) PROBE0 nodes=149
T1 sh10 cell=(116,248) PROBE0 nodes=37
T1 sh4 cell=(191,242) PROBE0 nodes=13
T1 sh7 cell=(27,244) PROBE0 nodes=25
T1 sh1 cell=(45,240) PROBE0 nodes=80
T1 sh14 cell=(201,184) PROBE0 nodes=369
T1 sh8 cell=(231,183) PROBE0 nodes=17
T1 sh22 cell=(207,247) PROBE0 nodes=142
T1 sh0 cell=(181,173) PROBE0 nodes=153
T1 sh11 cell=(141,186) PROBE0 nodes=58
T1 sh7 cell=(93,244) PROBE0 nodes=307
T1 sh17 cell=(18,181) PROBE0 nodes=23
T1 sh20 cell=(144,189) PROBE0 nodes=16
T1 sh9 cell=(184,175) PROBE0 nodes=445
T1 sh13 cell=(71,242) PROBE0 nodes=4
T1 sh25 cell=(15,243) PROBE0 nodes=633
T1 sh21 cell=(85,171) PROBE0 nodes=3
T1 sh14 cell=(6,185) PROBE0 nodes=185
T1 sh6 cell=(180,169) PROBE0 nodes=14
T1 sh2 cell=(148,180) PROBE0 nodes=53
T1 sh4 cell=(26,243) PROBE0 nodes=45
T1 sh16 cell=(58,252) PROBE0 nodes=57
T1 sh18 cell=(53,168) PROBE0 nodes=43
T1 sh25 cell=(70,243) PROBE0 nodes=85
T1 sh22 cell=(92,248) PROBE0 nodes=615
T1 sh15 cell=(150,171) PROBE0 nodes=152
T1 sh12 cell=(178,176) PROBE0 nodes=350
T1 sh5 cell=(259,187) PROBE0 nodes=177
T1 sh21 cell=(166,171) PROBE0 nodes=117
T1 sh4 cell=(82,243) PROBE0 nodes=35
T1 sh23 cell=(143,184) PROBE0 nodes=75
T1 sh16 cell=(120,252) PROBE0 nodes=41
T1 sh3 cell=(171,177) PROBE0 nodes=126
T1 sh17 cell=(161,181) PROBE0 nodes=34
T1 sh11 cell=(272,186) PROBE0 nodes=275
T1 sh19 cell=(13,252) PROBE0 nodes=41
T1 sh14 cell=(148,185) PROBE0 nodes=57
T1 sh23 cell=(230,184) PROBE0 nodes=17
T1 sh20 cell=(75,190) PROBE0 nodes=24
T1 sh0 cell=(135,174) PROBE0 nodes=66
T1 sh18 cell=(181,168) PROBE0 nodes=47
T1 sh7 cell=(106,245) PROBE0 nodes=32
T1 sh15 cell=(5,172) PROBE0 nodes=42
T1 sh16 cell=(228,252) PROBE0 nodes=582
T1 sh1 cell=(65,241) PROBE0 nodes=163
T1 sh24 cell=(179,173) PROBE0 nodes=144
T1 sh6 cell=(95,170) PROBE0 nodes=20
T1 sh13 cell=(47,243) PROBE0 nodes=48
T1 sh22 cell=(34,249) PROBE0 nodes=323
T1 sh10 cell=(13,250) PROBE0 nodes=45
T1 sh8 cell=(161,184) PROBE0 nodes=25
T1 sh15 cell=(95,172) PROBE0 nodes=12
T1 sh9 cell=(174,176) PROBE0 nodes=184
T1 sh4 cell=(22,244) PROBE0 nodes=409
T1 sh11 cell=(138,187) PROBE0 nodes=10
T1 sh16 cell=(24,253) PROBE0 nodes=319
T1 sh13 cell=(106,243) PROBE0 nodes=55
T1 sh23 cell=(106,185) PROBE0 nodes=72
T1 sh14 cell=(7,186) PROBE0 nodes=136
T1 sh22 cell=(110,249) PROBE0 nodes=11
T1 sh12 cell=(142,177) PROBE0 nodes=22
T1 sh6 cell=(173,170) PROBE0 nodes=304
T1 sh4 cell=(87,244) PROBE0 nodes=35
T1 sh15 cell=(181,172) PROBE0 nodes=16
T1 sh17 cell=(95,182) PROBE0 nodes=89
T1 sh1 cell=(197,241) PROBE0 nodes=12
T1 sh0 cell=(9,175) PROBE0 nodes=18
T1 sh21 cell=(200,172) PROBE0 nodes=8
T1 sh7 cell=(44,246) PROBE0 nodes=5
T1 sh12 cell=(187,177) PROBE0 nodes=91
T1 sh2 cell=(197,181) PROBE0 nodes=113
T1 sh19 cell=(240,252) PROBE0 nodes=47
T1 sh11 cell=(2,188) PROBE0 nodes=36
T1 sh17 cell=(177,182) PROBE0 nodes=161
T1 sh13 cell=(240,243) PROBE0 nodes=39
T1 sh9 cell=(50,177) PROBE0 nodes=42
T1 sh3 cell=(166,178) PROBE0 nodes=134
T1 sh25 cell=(195,244) PROBE0 nodes=12
T1 sh22 cell=(254,249) PROBE0 nodes=108
T1 sh5 cell=(92,189) PROBE0 nodes=12
T1 sh20 cell=(271,190) PROBE0 nodes=26
T1 sh7 cell=(102,246) PROBE0 nodes=286
T1 sh10 cell=(248,250) PROBE0 nodes=107
T1 sh19 cell=(30,253) PROBE0 nodes=469
T1 sh23 cell=(240,185) PROBE0 nodes=118
T1 sh11 cell=(80,188) PROBE0 nodes=17
T1 sh13 cell=(39,244) PROBE0 nodes=4
T1 sh22 cell=(45,250) PROBE0 nodes=46
T1 sh9 cell=(131,177) PROBE0 nodes=23
T1 sh20 cell=(84,191) PROBE0 nodes=4
T1 sh5 cell=(175,189) PROBE0 nodes=200
T1 sh23 cell=(50,186) PROBE0 nodes=19
T1 sh21 cell=(97,173) PROBE0 nodes=11
T1 sh18 cell=(140,169) PROBE0 nodes=68
T1 sh11 cell=(135,188) PROBE0 nodes=1
T1 sh0 cell=(164,175) PROBE0 nodes=89
T1 sh4 cell=(22,245) PROBE0 nodes=304
